sampleID_bact,sampleID_fung,sample_type,Sample_or_Control,extract_num,extract_kit,fungal_PCR_conc,raw_DNA_conc,bact_dilution,dil_DNA_conc,description,start_date,collect_date,short_description,wet_mass,vol_filter,sub_proj,plant_type,field_plot,gh_block,rain_trt,pot_num,UTM_lat,UTM_long,exp_len,seq_plate_no,seq_plate_row,seq_plate_col
RX006Marsh6,RX006Marsh6,Rain,Sample,6,Water_2,8.5704,9.8,1,9.8,Marshall B2,7/20/2018,7/21/2018,Marsh6,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,1,1,F,1
RX001Marsh1,RX001Marsh1,Rain,Sample,1,Water_2,7.142,10,1,10,Marshall B3,7/20/2018,7/21/2018,Marsh1,NA,350,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,1,1,A,1
RX021Marsh21,RX021Marsh21,Rain,Sample,21,Water_2,7.4991,2.56,1,2.56,Marshall B4,7/20/2018,7/21/2018,Marsh21,NA,350,Marshall,Rain,B4,B4,Rain,B4,638811.969,4700754.249,1,1,F,3
RX111Marsh111,RX111Marsh111,Rain,Sample,111,Water_3,4.690825,1.23,1,1.23,Marshall B1,7/21/2018,7/22/2018,Marsh111,NA,350,Marshall,Rain,B1,B1,Rain,B1,639046.075,4700603.84,1,2,C,3
RX013Marsh13,RX013Marsh13,Rain,Sample,13,Water_2,7.8562,3.5,1,3.5,Marshall B2,7/21/2018,7/22/2018,Marsh13,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,1,1,F,2
RX024Marsh24,RX024Marsh24,Rain,Sample,24,Water_2,4.9994,5.08,1,5.08,Marshall B3,7/21/2018,7/22/2018,Marsh24,NA,350,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,1,1,A,4
RX036Marsh36,RX036Marsh36,Rain,Sample,36,Water_2,4.9994,0.942,1,0.942,Marshall B4,7/21/2018,7/22/2018,Marsh36,NA,350,Marshall,Rain,B4,B4,Rain,B4,638811.969,4700754.249,1,1,F,5
RX025Marsh25,RX025Marsh25,Rain,Sample,25,Water_2,2.4997,12.1,1,12.1,Marshall B2,7/22/2018,7/31/2018,Marsh25,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,9,1,B,4
RX051Marsh51,RX051Marsh51,Rain,Sample,51,Water_1,6.7849,1.82,1,1.82,Marshall B3,7/22/2018,7/31/2018,Marsh51,NA,350,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,9,1,E,7
RX005Marsh5,RX005Marsh5,Rain,Sample,5,Water_2,8.2133,17.6,0.5,8.8,Marshall B4,7/22/2018,7/31/2018,Marsh5,NA,350,Marshall,Rain,B4,B4,Rain,B4,638811.969,4700754.249,9,1,E,1
