OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu189	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia hungarica
Zotu190	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella kunmingensis
Zotu191	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	
Zotu192	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Incertae_sedis	Trichaptum	Trichaptum biforme
Zotu193	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	
Zotu194	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu195	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	
Zotu197	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
Zotu198	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu200	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	
Zotu202	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora cinerea
Zotu203	Fungi	Ascomycota	Sordariomycetes	Xylariales			
Zotu204	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium pullulans
Zotu205	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella kunmingensis
Zotu206	Fungi	Basidiomycota	Agaricomycetes				
Zotu207	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	
Zotu208	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu209	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium oeirense
Zotu210	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu211	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella	Idriella sp 
Zotu212	1.0000						
Zotu213	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium sp 
Zotu214	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	
Zotu215							
Zotu216	Fungi	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	
Zotu217	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
Zotu218	Alveolata	Ciliophora	Colpodea	Colpodida	Colpodidae	Colpoda	Colpoda sp 
Zotu219	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	
Zotu220	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
Zotu221	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia sp 
Zotu222	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella kunmingensis
Zotu223	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Incertae_sedis	Pseudomicrostroma	Pseudomicrostroma phylloplanum
Zotu224	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia zsoltii var. zsoltii
Zotu225	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Zotu226	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	
Zotu227	Fungi	Basidiomycota	Agaricomycetes				
Zotu228							
Zotu229	0.9800						
Zotu230	Fungi	Basidiomycota	Agaricomycetes	Polyporales			
Zotu231	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium	
Zotu232	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
Zotu233	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Zotu234							
