OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
Zotu53	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Cystobasidiomycetes		Cystobasidiomycetes	Cystobasidiomycetes	Incertae_sedis		Cystobasidiomycetes_ord_incertae_sedis	Incertae_sedis	Symmetrosporaceae		Symmetrosporaceae	Symmetrosporaceae	Symmetrospora		Symmetrospora	Symmetrospora				
Zotu54	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	Hypocreales	Nectriaceae	Nectriaceae	Nectriaceae	Nectriaceae								
Zotu55	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Taphrinomycetes	Taphrinomycetes	Taphrinomycetes	Taphrinomycetes	Taphrinales	Taphrinales	Taphrinales	Taphrinales	Taphrinaceae	Taphrinaceae	Taphrinaceae	Taphrinaceae	Taphrina	Taphrina	Taphrina	Taphrina	Taphrina caerulescens			Taphrina caerulescens
Zotu56	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Sporidiobolales		Sporidiobolales	Sporidiobolales	Sporidiobolaceae		Sporidiobolaceae	Sporidiobolaceae	Rhodotorula			Rhodotorula	Rhodotorula nothofagi			Rhodotorula nothofagi
Zotu57	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	Hypocreales	Nectriaceae	Nectriaceae	Nectriaceae	Nectriaceae								
Zotu58	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes		Tremellomycetes																
Zotu59	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Exobasidiomycetes		Exobasidiomycetes	Exobasidiomycetes	Entylomatales		Entylomatales	Entylomatales	Incertae_sedis		Entylomatales_fam_incertae_sedis	Incertae_sedis	Tilletiopsis		Tilletiopsis	Tilletiopsis	Tilletiopsis washingtonensis			Tilletiopsis washingtonensis
Zotu60	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Didymellaceae	Didymellaceae		Didymellaceae	Neoascochyta			Neoascochyta	Neoascochyta argentina			Neoascochyta argentina
Zotu61	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	Hypocreales	Nectriaceae	Nectriaceae	Nectriaceae	Nectriaceae								
Zotu62	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Sporidiobolales	Sporidiobolales	Sporidiobolales	Sporidiobolales	Sporidiobolaceae	Sporidiobolaceae		Sporidiobolaceae								
Zotu63	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Microstromatales	Microstromatales	Microstromatales	Microstromatales	Incertae_sedis			Incertae_sedis	Pseudomicrostroma			Pseudomicrostroma	Pseudomicrostroma phylloplanum			Pseudomicrostroma phylloplanum
Zotu64		Fungi		Fungi																								
Zotu65	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Sporidiobolales	Sporidiobolales	Sporidiobolales	Sporidiobolales	Sporidiobolaceae	Sporidiobolaceae	Sporidiobolaceae	Sporidiobolaceae	Sporobolomyces	Sporobolomyces		Sporobolomyces				
Zotu66	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales			Pleosporales												
Zotu67	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Didymellaceae	Didymellaceae		Didymellaceae	Neoascochyta			Neoascochyta	Neoascochyta argentina			Neoascochyta argentina
Zotu68	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales			Pleosporales												
Zotu69	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Didymellaceae	Didymellaceae		Didymellaceae	Neoascochyta			Neoascochyta	Neoascochyta argentina			Neoascochyta argentina
Zotu70	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideales	Dothideales	Dothideales	Dothideales	Aureobasidiaceae	Aureobasidiaceae		Aureobasidiaceae	Aureobasidium	Aureobasidium		Aureobasidium				
Zotu71	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideales	Dothideales		Dothideales	Aureobasidiaceae	Aureobasidiaceae		Aureobasidiaceae	Aureobasidium	Aureobasidium		Aureobasidium				
Zotu72	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Pleosporales	Pleosporales		Pleosporales												
Zotu73	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellales	Tremellales	Tremellales	Tremellales	Tremellaceae		Tremellaceae	Tremellaceae	Bulleromyces		Bulleromyces	Bulleromyces	Bulleromyces albus			Bulleromyces albus
Zotu74	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideales	Dothideales	Dothideales	Dothideales	Aureobasidiaceae	Aureobasidiaceae	Aureobasidiaceae	Aureobasidiaceae	Aureobasidium	Aureobasidium		Aureobasidium				
Zotu75	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellales	Tremellales	Tremellales	Tremellales			Bulleraceae	Bulleraceae								
Zotu76	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales			Pleosporales												
Zotu77	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	Pleosporales	Coniothyriaceae		Coniothyriaceae	Coniothyriaceae	Coniothyrium			Coniothyrium	Coniothyrium sp 			Coniothyrium sp 
Zotu78	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Pleosporales	Pleosporales		Pleosporales												
Zotu79	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Filobasidiales	Filobasidiales	Filobasidiales	Filobasidiales	Filobasidiaceae	Filobasidiaceae	Filobasidiaceae	Filobasidiaceae	Filobasidium	Filobasidium	Filobasidium	Filobasidium	Filobasidium wieringae			Filobasidium wieringae
Zotu80	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellales	Tremellales	Tremellales	Tremellales	Tremellaceae		Tremellaceae	Tremellaceae	Bulleromyces		Bulleromyces	Bulleromyces	Bulleromyces albus			Bulleromyces albus
Zotu81	Fungi	Fungi	1.0000	Fungi		Basidiomycota		Basidiomycota		Agaricomycetes		Agaricomycetes		Polyporales		Polyporales												
Zotu82	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellales	Tremellales	Tremellales	Tremellales	Tremellaceae		Tremellaceae	Tremellaceae	Bulleromyces		Bulleromyces	Bulleromyces	Bulleromyces albus			Bulleromyces albus
Zotu83	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideales	Dothideales	Dothideales	Dothideales	Aureobasidiaceae	Aureobasidiaceae	Aureobasidiaceae	Aureobasidiaceae	Aureobasidium			Aureobasidium				
Zotu84	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Pleosporales	Pleosporales		Pleosporales												
