"","s1_s2","sample2","sample1","jaccard","nestedness","turnover","s1_sample_type","s1_collect_date","s1_sub_proj","s1_plant_type","s1_gh_block","s1_rain_trt","s1_UTM_lat","s1_UTM_long","s2_sample_type","s2_collect_date","s2_sub_proj","s2_plant_type","s2_gh_block","s2_rain_trt","s2_UTM_lat","s2_UTM_long","s1_s2_plant_type","s1_s2_collect_date","s1_collect_date_plant_type","s2_collect_date_plant_type","shared","not.shared","similarity","s1_s2_rain_trt","s1_s2_gh_block"
"46","Leaf03.Leaf55","Leaf55","Leaf03",0.785185185185185,0.134582775546631,0.650602409638554,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Adult","B1","Field_rain",639046.075,4700603.84,"Seedling.Adult","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Adult",29,27,0.214814814814815,"Field_rain.Field_rain","B4.B1"
"47","Leaf03.Leaf56","Leaf56","Leaf03",0.736842105263158,0.148606811145511,0.588235294117647,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/16/2018","Marshall","Adult","B2","Field_rain",638976.568,4700616.674,"Seedling.Adult","9/5/2018.7/16/2018","9/5/2018.Seedling","7/16/2018.Adult",35,25,0.263157894736842,"Field_rain.Field_rain","B4.B2"
"48","Leaf03.Leaf57","Leaf57","Leaf03",0.86013986013986,0.0823620823620824,0.777777777777778,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B2","Sterile_rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",20,35,0.13986013986014,"Field_rain.Sterile_rain","B4.B2"
"49","Leaf03.Leaf59","Leaf59","Leaf03",0.588235294117647,0,0.588235294117647,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",63,45,0.411764705882353,"Field_rain.Field_rain","B4.B4"
"50","Leaf03.Leaf60","Leaf60","Leaf03",0.67948717948718,0.021952932911837,0.657534246575342,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Adult","B2","Field_rain",638976.568,4700616.674,"Seedling.Adult","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Adult",50,48,0.32051282051282,"Field_rain.Field_rain","B4.B2"
"51","Leaf03.Leaf61","Leaf61","Leaf03",0.728682170542636,0.18322762508809,0.545454545454545,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/16/2018","Marshall","Adult","B1","Field_rain",639046.075,4700603.84,"Seedling.Adult","9/5/2018.7/16/2018","9/5/2018.Seedling","7/16/2018.Adult",35,21,0.271317829457364,"Field_rain.Field_rain","B4.B1"
"52","Leaf03.Leaf65","Leaf65","Leaf03",0.627450980392157,0.0152060824329732,0.612244897959184,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B1","Field_rain",639046.075,4700603.84,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",57,45,0.372549019607843,"Field_rain.Field_rain","B4.B1"
"53","Leaf03.Leaf66","Leaf66","Leaf03",0.897637795275591,0.152539756059904,0.745098039215686,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B1","Sterile_rain",639046.075,4700603.84,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",13,19,0.102362204724409,"Field_rain.Sterile_rain","B4.B1"
"54","Leaf03.Leaf67","Leaf67","Leaf03",0.71523178807947,0.0485651214128035,0.666666666666667,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Adult","B4","Field_rain",638811.969,4700754.249,"Seedling.Adult","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Adult",43,43,0.28476821192053,"Field_rain.Field_rain","B4.B4"
"55","Leaf03.Leaf68","Leaf68","Leaf03",0.672727272727273,0.00606060606060606,0.666666666666667,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B2","Field_rain",638976.568,4700616.674,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",54,57,0.327272727272727,"Field_rain.Field_rain","B4.B2"
"56","Leaf03.Leaf69","Leaf69","Leaf03",0.851063829787234,0.0924431401320616,0.758620689655172,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","Nano","Nano",NA,NA,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",21,33,0.148936170212766,"Field_rain.Nano","B4.Nano"
"57","Leaf03.Leaf70","Leaf70","Leaf03",0.722222222222222,0.0163398692810458,0.705882352941177,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/16/2018","Marshall","Adult","B4","Field_rain",638811.969,4700754.249,"Seedling.Adult","9/5/2018.7/16/2018","9/5/2018.Seedling","7/16/2018.Adult",45,54,0.277777777777778,"Field_rain.Field_rain","B4.B4"
"58","Leaf03.Leaf71","Leaf71","Leaf03",0.761363636363636,0.00274294670846395,0.758620689655172,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/10/2018","Marshall","Seed","Control","No_rain",NA,NA,"Seedling.Seed","9/5/2018.7/10/2018","9/5/2018.Seedling","7/10/2018.Seed",42,68,0.238636363636364,"Field_rain.No_rain","B4.Control"
"59","Leaf03.Leaf73","Leaf73","Leaf03",0.704697986577181,0.0539043357835304,0.650793650793651,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Adult","B3","Field_rain",638809.092,4700697.086,"Seedling.Adult","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Adult",44,41,0.295302013422819,"Field_rain.Field_rain","B4.B3"
